tf_minutes,require_bias,tp_r,sl_atr_buffer,trail_atr,spread_gate,min_score,n,wr,pf,exp,total_r
15,True,3.0,1.0,1.5,0.2,60,398,46.231155778894475,0.7285606911352448,-0.14985202489709623,-59.6411059090443
15,True,3.0,1.0,1.5,0.2,70,357,45.65826330532213,0.7473941668654,-0.1409017788308928,-50.30193504262873
15,True,3.0,1.0,1.5,0.45,0,951,43.84858044164038,0.6327439505594602,-0.21856931012036102,-207.85941392446333
15,True,3.0,1.0,1.5,0.45,60,929,44.13347685683531,0.6349980056167778,-0.21580798489927408,-200.48561797142563
15,True,3.0,1.0,1.5,0.45,70,745,44.69798657718121,0.670914209954963,-0.1919386927718096,-142.99432611499816
15,False,0.6,0.5,0.0,0.2,0,1169,56.37296834901625,0.6688971172174766,-0.15474957708730913,-180.90225561506438
15,False,0.6,0.5,0.0,0.2,60,796,55.0251256281407,0.6380065939998094,-0.17371938690268904,-138.28063197454048
15,False,0.6,0.5,0.0,0.2,70,435,57.931034482758626,0.7172149925133539,-0.12704508793001462,-55.264613249556355
15,False,0.6,0.5,0.0,0.45,0,2098,57.19733079122974,0.6664766791377573,-0.1557988499689208,-326.86598723479585
15,False,0.6,0.5,0.0,0.45,60,1322,56.278366111951584,0.6481939958244936,-0.16725328657467387,-221.10884485171886
15,False,0.6,0.5,0.0,0.45,70,675,57.925925925925924,0.6967941940186811,-0.1384034203244532,-93.42230871900591
15,False,0.6,0.5,1.5,0.2,0,1169,56.37296834901625,0.6688971172174766,-0.15474957708730913,-180.90225561506438
15,False,0.6,0.5,1.5,0.2,60,796,55.0251256281407,0.6380065939998094,-0.17371938690268904,-138.28063197454048
