pair,dir,entry_time,exit_time,r_multiple,exit_reason
GBPCAD,LONG,2026-07-20 03:00:00+00:00,2026-07-20 03:30:00+00:00,0.5,target
GBPCAD,LONG,2026-07-20 06:15:00+00:00,2026-07-20 07:15:00+00:00,0.5,target
CADJPY,SHORT,2026-07-20 13:30:00+00:00,2026-07-20 14:00:00+00:00,-1.0,stop
GBPCAD,LONG,2026-07-20 17:00:00+00:00,2026-07-20 17:15:00+00:00,0.5,target
GBPUSD,LONG,2026-07-21 05:15:00+00:00,2026-07-21 05:30:00+00:00,0.5,target
GBPCAD,LONG,2026-07-21 18:30:00+00:00,2026-07-21 19:15:00+00:00,0.5,target
GBPUSD,LONG,2026-07-22 04:15:00+00:00,2026-07-22 05:00:00+00:00,0.5,target
NZDUSD,SHORT,2026-07-22 10:45:00+00:00,2026-07-22 11:30:00+00:00,0.5,target
GBPCAD,SHORT,2026-07-22 14:00:00+00:00,2026-07-22 14:15:00+00:00,0.5,target
GBPCAD,SHORT,2026-07-23 07:30:00+00:00,2026-07-23 08:30:00+00:00,0.5,target
GBPUSD,SHORT,2026-07-23 09:45:00+00:00,2026-07-23 10:15:00+00:00,0.5,target
EURUSD,SHORT,2026-07-23 10:00:00+00:00,2026-07-23 10:15:00+00:00,0.5,target
XAUUSD,SHORT,2026-07-23 12:00:00+00:00,2026-07-23 12:15:00+00:00,0.5,target
GBPCAD,SHORT,2026-07-23 12:30:00+00:00,2026-07-23 13:00:00+00:00,0.5,target
NZDUSD,LONG,2026-07-24 09:15:00+00:00,2026-07-24 09:45:00+00:00,0.5,target
CADJPY,SHORT,2026-07-24 13:45:00+00:00,2026-07-24 14:00:00+00:00,-1.0,stop
XAUUSD,LONG,2026-07-24 15:45:00+00:00,2026-07-24 16:15:00+00:00,0.005316056150838284,time_stop
NZDUSD,LONG,2026-07-24 15:45:00+00:00,2026-07-24 16:15:00+00:00,0.0791183950268115,time_stop
