tp_r,tp1_frac,breakeven_after_tp1,sl_atr_buffer,retr_frac,min_score,n,wr,pf,exp
2.0,0.0,False,1.1,0.5,0,229,37.117903930131,0.8105229459797147,-0.11819560664137056
2.0,0.0,False,1.1,0.5,60,221,38.009049773755656,0.8304831905626697,-0.10514150314844585
2.0,0.0,False,1.1,0.5,65,203,39.40886699507389,0.9098070510996683,-0.054012327979916404
2.0,0.0,False,1.1,0.5,70,159,42.138364779874216,1.0327596198928064,0.018036788103849403
2.0,0.0,False,1.1,0.5,75,91,36.26373626373626,0.883117963428819,-0.06890235916657424
2.0,0.0,False,1.1,0.62,0,185,34.054054054054056,0.7472984030136081,-0.17062140981286927
2.0,0.0,False,1.1,0.62,60,179,34.63687150837989,0.7653273034238119,-0.15653763667907206
2.0,0.0,False,1.1,0.62,65,162,36.41975308641975,0.8288049970144251,-0.11050364379372057
2.0,0.0,False,1.1,0.62,70,125,39.2,0.9643193872187421,-0.0212947665334914
2.0,0.0,False,1.1,0.62,75,75,36.0,0.8420658439872929,-0.09708029471318223
2.5,0.0,False,0.8,0.5,0,231,33.33333333333333,0.7593910257530848,-0.1650533760714935
2.5,0.0,False,0.8,0.5,60,225,34.22222222222222,0.7924532941256242,-0.1400714686724641
2.5,0.0,False,0.8,0.5,65,208,35.09615384615385,0.8501831398739322,-0.09895701365414902
2.5,0.0,False,0.8,0.5,70,164,38.41463414634146,1.0007358759182676,0.0004478173803618065
2.5,0.0,False,0.8,0.5,75,97,32.98969072164948,0.8716552835377365,-0.0837003611271103
2.5,0.0,False,0.8,0.62,0,187,29.946524064171122,0.6877250871717179,-0.2310541747959484
2.5,0.0,False,0.8,0.62,60,182,30.76923076923077,0.7169405417268668,-0.20642217096177387
2.5,0.0,False,0.8,0.62,65,166,31.92771084337349,0.7564359975767578,-0.1732702999254882
2.5,0.0,False,0.8,0.62,70,128,35.15625,0.9215637972321755,-0.051742337104905195
2.5,0.0,False,0.8,0.62,75,85,35.294117647058826,0.9910200898631073,-0.005861685890818305
2.5,0.0,False,1.1,0.5,0,229,34.06113537117904,0.7368717262187015,-0.17012787966239465
2.5,0.0,False,1.1,0.5,60,224,34.82142857142857,0.76076632146049,-0.15316458883812833
2.5,0.0,False,1.1,0.5,65,206,35.92233009708738,0.8223400438264292,-0.11116287461209913
2.5,0.0,False,1.1,0.5,70,162,38.88888888888889,0.9624379223630392,-0.021544022219678962
2.5,0.0,False,1.1,0.5,75,95,33.68421052631579,0.8692636541193933,-0.07826028590951203
2.5,0.0,False,1.1,0.62,0,185,32.432432432432435,0.6938033036463169,-0.21038711000858357
2.5,0.0,False,1.1,0.62,60,180,33.33333333333333,0.7199202988010404,-0.19061252282650873
2.5,0.0,False,1.1,0.62,65,165,33.939393939393945,0.7512913683720575,-0.16593651165630488
2.5,0.0,False,1.1,0.62,70,127,37.00787401574803,0.8922667193480902,-0.06608791018859572
2.5,0.0,False,1.1,0.62,75,82,37.80487804878049,1.0411346375699435,0.024235834752454104
