retr_frac,sl_atr_buffer,tp_r,tp1_frac,breakeven_after_tp1,entry_expiry,min_score,n,wr,pf,exp,total_r
0.35,0.5,2.0,0.5,False,10,65,213,39.906103286384976,0.8188864672114655,-0.09721153609629926,-20.706057188511743
0.35,0.5,2.0,0.5,False,10,70,153,43.790849673202615,0.996483248408023,-0.0017272961720645327,-0.2642763143258735
0.35,0.5,2.0,0.5,False,10,75,86,34.883720930232556,0.6490537860184902,-0.20409542451754828,-17.55220650850915
0.35,0.5,2.0,0.0,False,6,0,241,38.17427385892116,0.8478771540759427,-0.09499595086397752,-22.894024158218585
0.35,0.5,2.0,0.0,False,6,55,238,38.655462184873954,0.866651024991098,-0.08249527950505932,-19.63387652220412
0.35,0.5,2.0,0.0,False,6,60,230,39.130434782608695,0.889735753040484,-0.06745154344072743,-15.513854991367309
0.35,0.5,2.0,0.0,False,6,65,197,38.07106598984771,0.878398898694266,-0.07534242006354004,-14.84245675251739
0.35,0.5,2.0,0.0,False,6,70,139,43.16546762589928,1.1173013432348653,0.06538451328177859,9.088447346167225
0.35,0.5,2.0,0.0,False,6,75,75,36.0,0.7954310321827995,-0.12992737636669538,-9.744553227502154
0.35,0.5,2.0,0.0,False,10,0,258,37.2093023255814,0.8058995980471929,-0.12397026297863767,-31.98432784848852
0.35,0.5,2.0,0.0,False,10,55,254,37.79527559055118,0.8286690594574275,-0.10809676364496458,-27.456577965821005
0.35,0.5,2.0,0.0,False,10,60,246,38.21138211382114,0.8481828544752392,-0.09486405054871622,-23.33655643498419
0.35,0.5,2.0,0.0,False,10,65,213,37.08920187793427,0.8325290844484098,-0.10620361467095664,-22.621369924913765
0.35,0.5,2.0,0.0,False,10,70,153,41.17647058823529,1.004673802311845,0.0027317442403633706,0.4179568687755957
0.35,0.5,2.0,0.0,False,10,75,86,33.72093023255814,0.6821128313353676,-0.21224887346546314,-18.25340311802983
0.35,0.5,2.5,0.0,False,6,0,270,33.7037037037037,0.7391398204682605,-0.17563357442021574,-47.421065093458246
0.35,0.5,2.5,0.0,False,6,55,267,34.08239700374532,0.7527713369787592,-0.16527782920102208,-44.12918039667289
0.35,0.5,2.5,0.0,False,6,60,261,34.099616858237546,0.7551965011532525,-0.1633083943469848,-42.62349092456303
0.35,0.5,2.5,0.0,False,6,65,242,35.12396694214876,0.8084328746414073,-0.12461212955742972,-30.15613535289799
0.35,0.5,2.5,0.0,False,6,70,190,37.89473684210527,0.9469451118377091,-0.032234200492345745,-6.124498093545691
0.35,0.5,2.5,0.0,False,6,75,111,36.93693693693694,0.8941502103892958,-0.06602288399877562,-7.3285401238640935
0.35,0.5,2.5,0.0,False,10,0,289,32.8719723183391,0.708908872987295,-0.1997131519025618,-57.71710089984036
0.35,0.5,2.5,0.0,False,10,55,286,33.21678321678322,0.7208771135984955,-0.19029795875194055,-54.425216203055
0.35,0.5,2.5,0.0,False,10,60,279,33.33333333333333,0.7271953164697267,-0.1851323458218354,-51.65192448429208
0.35,0.5,2.5,0.0,False,10,65,260,34.23076923076923,0.7732831370856633,-0.1505414640054098,-39.14078064140655
0.35,0.5,2.5,0.0,False,10,70,206,36.89320388349515,0.8990271070571278,-0.06299994511131099,-12.977988692930063
0.35,0.5,2.5,0.0,False,10,75,121,36.36363636363637,0.8545080734793059,-0.09242408677265396,-11.183314499491129
0.35,0.5,2.5,0.5,True,6,0,274,48.175182481751825,0.7227258590700065,-0.14965057665556789,-41.0042580036256
0.35,0.5,2.5,0.5,True,6,55,271,48.33948339483395,0.7307605795867199,-0.1447833284730507,-39.23628201619674
0.35,0.5,2.5,0.5,True,6,60,265,47.924528301886795,0.728310367881805,-0.14712634955441709,-38.988482631920526
0.35,0.5,2.5,0.5,True,6,65,246,49.59349593495935,0.7911799029921939,-0.1085894866207331,-26.713013708700345
0.35,0.5,2.5,0.5,True,6,70,193,53.8860103626943,0.9820884195306631,-0.008291051297122879,-1.6001729003447158
0.35,0.5,2.5,0.5,True,6,75,113,50.442477876106196,0.8768579080005017,-0.061744816083501415,-6.97716421743566
0.35,0.5,2.5,0.5,True,10,0,293,47.781569965870304,0.704954834812646,-0.16091772861430545,-47.1488944839915
0.35,0.5,2.5,0.5,True,10,55,290,47.93103448275862,0.7121393608153912,-0.15648592585021595,-45.38091849656263
0.35,0.5,2.5,0.5,True,10,60,283,47.349823321554766,0.7071077178807817,-0.16085540170740176,-45.5220786831947
0.35,0.5,2.5,0.5,True,10,65,264,48.86363636363637,0.7599212187988015,-0.12717120033951404,-33.57319688963171
0.35,0.5,2.5,0.5,True,10,70,209,53.110047846889955,0.9361493065174455,-0.03028326024953064,-6.329201392151903
0.35,0.5,2.5,0.5,True,10,75,123,50.40650406504065,0.8675146518047252,-0.06689891008198957,-8.228565940084717
0.35,0.5,2.5,0.5,False,6,0,270,37.407407407407405,0.746786309863813,-0.1387316296527048,-37.457540006230296
0.35,0.5,2.5,0.5,False,6,55,267,37.82771535580524,0.7584139802557146,-0.1317961199206046,-35.189564018801434
0.35,0.5,2.5,0.5,False,6,60,261,37.93103448275862,0.7542839286481364,-0.13491995255533698,-35.214107616942954
