stopx,tgtR,cost<=,strat,qual,n,win%,PF,expR,totR
1.6,1.25,0.05,trend,m15,257,55.3,1.33,0.137,35.3
1.6,1.25,0.05,trend+breakout,none,513,52.8,1.25,0.112,57.6
1.6,1.25,0.05,trend+breakout,retest,286,54.9,1.39,0.171,49.0
1.6,1.25,0.05,trend+breakout,m15,485,53.6,1.28,0.127,61.5
1.6,1.25,0.05,trend+breakout,retest+m15,260,56.2,1.45,0.196,50.9
1.6,1.25,0.05,no_liquidity_only,none,513,52.8,1.25,0.112,57.6
1.6,1.25,0.05,no_liquidity_only,retest,286,54.9,1.39,0.171,49.0
1.6,1.25,0.05,no_liquidity_only,m15,485,53.6,1.28,0.127,61.5
1.6,1.25,0.05,no_liquidity_only,retest+m15,260,56.2,1.45,0.196,50.9
1.6,1.5,0.02,all,none,290,53.1,1.36,0.157,45.6
1.6,1.5,0.02,all,retest,145,52.4,1.32,0.147,21.3
1.6,1.5,0.02,all,m15,226,55.8,1.48,0.196,44.4
1.6,1.5,0.02,trend+breakout,none,127,55.1,1.46,0.195,24.7
1.6,1.5,0.02,trend+breakout,m15,123,55.3,1.46,0.193,23.8
1.6,1.5,0.02,no_liquidity_only,none,127,55.1,1.46,0.195,24.7
1.6,1.5,0.02,no_liquidity_only,m15,123,55.3,1.46,0.193,23.8
1.6,1.5,0.03,all,none,626,49.8,1.22,0.106,66.3
1.6,1.5,0.03,all,retest,331,52.6,1.36,0.163,54.0
1.6,1.5,0.03,all,m15,500,50.6,1.25,0.116,58.1
1.6,1.5,0.03,all,retest+m15,268,54.1,1.42,0.188,50.5
1.6,1.5,0.03,trend,none,159,52.2,1.27,0.118,18.7
1.6,1.5,0.03,trend,m15,159,52.2,1.27,0.118,18.7
1.6,1.5,0.03,trend+breakout,none,307,50.5,1.24,0.114,35.1
1.6,1.5,0.03,trend+breakout,retest,171,54.4,1.47,0.21,36.0
1.6,1.5,0.03,trend+breakout,m15,294,50.7,1.25,0.118,34.6
1.6,1.5,0.03,trend+breakout,retest+m15,158,55.1,1.51,0.224,35.4
1.6,1.5,0.03,no_liquidity_only,none,307,50.5,1.24,0.114,35.1
1.6,1.5,0.03,no_liquidity_only,retest,171,54.4,1.47,0.21,36.0
1.6,1.5,0.03,no_liquidity_only,m15,294,50.7,1.25,0.118,34.6
1.6,1.5,0.03,no_liquidity_only,retest+m15,158,55.1,1.51,0.224,35.4
1.6,1.5,0.05,all,none,1126,47.5,1.14,0.07,78.4
1.6,1.5,0.05,all,retest,645,48.7,1.2,0.104,66.9
1.6,1.5,0.05,all,m15,916,48.8,1.19,0.094,86.4
1.6,1.5,0.05,all,retest+m15,512,51.2,1.32,0.153,78.6
1.6,1.5,0.05,trend,none,307,52.4,1.32,0.145,44.4
1.6,1.5,0.05,trend,m15,307,52.4,1.32,0.145,44.4
1.6,1.5,0.05,trend+breakout,none,634,49.1,1.21,0.106,66.9
1.6,1.5,0.05,trend+breakout,retest,363,49.9,1.28,0.142,51.6
1.6,1.5,0.05,trend+breakout,m15,598,49.7,1.24,0.117,69.8
1.6,1.5,0.05,trend+breakout,retest+m15,329,50.8,1.32,0.159,52.4
1.6,1.5,0.05,no_liquidity_only,none,634,49.1,1.21,0.106,66.9
1.6,1.5,0.05,no_liquidity_only,retest,363,49.9,1.28,0.142,51.6
1.6,1.5,0.05,no_liquidity_only,m15,598,49.7,1.24,0.117,69.8
1.6,1.5,0.05,no_liquidity_only,retest+m15,329,50.8,1.32,0.159,52.4
1.6,2.0,0.02,all,none,498,48.2,1.33,0.161,80.3
1.6,2.0,0.02,all,retest,260,50.8,1.47,0.225,58.4
1.6,2.0,0.02,all,m15,397,49.1,1.37,0.176,70.0
1.6,2.0,0.02,all,retest+m15,211,51.7,1.5,0.233,49.2
1.6,2.0,0.02,trend,none,126,52.4,1.47,0.2,25.2
1.6,2.0,0.02,trend,m15,126,52.4,1.47,0.2,25.2
1.6,2.0,0.02,trend+breakout,none,242,50.0,1.41,0.196,47.4
1.6,2.0,0.02,trend+breakout,retest,134,53.7,1.67,0.305,40.9
1.6,2.0,0.02,trend+breakout,m15,232,50.0,1.42,0.197,45.7
1.6,2.0,0.02,trend+breakout,retest+m15,124,54.0,1.7,0.316,39.2
1.6,2.0,0.02,no_liquidity_only,none,242,50.0,1.41,0.196,47.4
1.6,2.0,0.02,no_liquidity_only,retest,134,53.7,1.67,0.305,40.9
1.6,2.0,0.02,no_liquidity_only,m15,232,50.0,1.42,0.197,45.7
1.6,2.0,0.02,no_liquidity_only,retest+m15,124,54.0,1.7,0.316,39.2
1.6,2.0,0.03,all,none,912,46.4,1.28,0.143,130.3
1.6,2.0,0.03,all,retest,505,48.1,1.42,0.213,107.7
1.6,2.0,0.03,all,m15,739,47.0,1.3,0.151,111.8
1.6,2.0,0.03,all,retest+m15,405,49.6,1.48,0.238,96.2
1.6,2.0,0.03,trend,none,244,50.4,1.32,0.151,36.9
1.6,2.0,0.03,trend,m15,244,50.4,1.32,0.151,36.9
1.6,2.0,0.03,trend+breakout,none,486,47.3,1.32,0.167,80.9
1.6,2.0,0.03,trend+breakout,retest,274,49.3,1.54,0.269,73.6
1.6,2.0,0.03,trend+breakout,m15,461,47.5,1.32,0.164,75.7
1.6,2.0,0.03,trend+breakout,retest+m15,250,49.6,1.54,0.269,67.3
1.6,2.0,0.03,no_liquidity_only,none,486,47.3,1.32,0.167,80.9
1.6,2.0,0.03,no_liquidity_only,retest,274,49.3,1.54,0.269,73.6
1.6,2.0,0.03,no_liquidity_only,m15,461,47.5,1.32,0.164,75.7
1.6,2.0,0.03,no_liquidity_only,retest+m15,250,49.6,1.54,0.269,67.3
1.6,2.0,0.05,all,none,1369,44.3,1.21,0.116,158.5
1.6,2.0,0.05,all,retest,830,45.3,1.29,0.16,133.2
1.6,2.0,0.05,all,m15,1119,45.5,1.26,0.142,158.5
1.6,2.0,0.05,all,retest+m15,660,47.6,1.4,0.211,139.3
1.6,2.0,0.05,trend,none,350,48.6,1.3,0.15,52.3
1.6,2.0,0.05,trend,m15,350,48.6,1.3,0.15,52.3
1.6,2.0,0.05,trend+breakout,none,812,45.4,1.27,0.147,119.4
1.6,2.0,0.05,trend+breakout,retest,499,46.1,1.36,0.194,96.6
1.6,2.0,0.05,trend+breakout,m15,756,46.3,1.31,0.165,124.5
1.6,2.0,0.05,trend+breakout,retest+m15,445,47.4,1.42,0.224,99.6
1.6,2.0,0.05,no_liquidity_only,none,812,45.4,1.27,0.147,119.4
1.6,2.0,0.05,no_liquidity_only,retest,499,46.1,1.36,0.194,96.6
1.6,2.0,0.05,no_liquidity_only,m15,756,46.3,1.31,0.165,124.5
1.6,2.0,0.05,no_liquidity_only,retest+m15,445,47.4,1.42,0.224,99.6
1.6,2.5,0.02,all,none,721,44.9,1.29,0.153,110.2
1.6,2.5,0.02,all,retest,389,46.0,1.38,0.202,78.7
1.6,2.5,0.02,all,m15,579,45.6,1.3,0.157,90.7
1.6,2.5,0.02,all,retest+m15,313,47.0,1.39,0.205,64.1
